Athlete,Event,Meet,Year,Competition,ResultTime,Rank,ReactionTime,Lane,Temperature,Humidity,Wind,Records,1000_split,2000_split,3000_split,4000_split,gender
Vivian Jepkemoi CHERUIYOT,5000m Women,Memorial Van Damme,2010,Diamond League,874.1,1,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Linet Chepkwemoi MASAI,5000m Women,Memorial Van Damme,2010,Diamond League,875.1,2,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Sentayehu EJIGU,5000m Women,Memorial Van Damme,2010,Diamond League,875.1,3,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Alemitu BEKELE,5000m Women,Memorial Van Damme,2010,Diamond League,876.8,4,,,15.0,88.0,,PB,175.2,354.2,531.9,709.1,1
Sally KIPYEGO,5000m Women,Memorial Van Damme,2010,Diamond League,878.6,5,,,15.0,88.0,,PB,175.2,354.2,531.9,709.1,1
Elvan ABEYLEGESSE,5000m Women,Memorial Van Damme,2010,Diamond League,879.6,6,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Sylvia Jebiwot KIBET,5000m Women,Memorial Van Damme,2010,Diamond League,879.8,7,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Ines CHENONGE,5000m Women,Memorial Van Damme,2010,Diamond League,883.1,8,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Meselech MELKAMU,5000m Women,Memorial Van Damme,2010,Diamond League,884.3,9,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Molly HUDDLE,5000m Women,Memorial Van Damme,2010,Diamond League,884.8,10,,,15.0,88.0,,AR,175.2,354.2,531.9,709.1,1
Stephanie TWELL,5000m Women,Memorial Van Damme,2010,Diamond League,894.1,11,,,15.0,88.0,,PB,175.2,354.2,531.9,709.1,1
Mercy CHERONO,5000m Women,Memorial Van Damme,2010,Diamond League,898.9,12,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Esther CHEMTAI,5000m Women,Memorial Van Damme,2010,Diamond League,899.7,13,,,15.0,88.0,,,175.2,354.2,531.9,709.1,1
Eliud KIPCHOGE,5000m Men,Doha Diamond League,2010,Diamond League,771.2,1,,,31.0,30.0,,WL,151.8,305.5,460.1,619.2,0
Vincent Kiprop CHEPKOK,5000m Men,Doha Diamond League,2010,Diamond League,771.5,2,,,31.0,30.0,,PB,151.8,305.5,460.1,619.2,0
Imane MERGA,5000m Men,Doha Diamond League,2010,Diamond League,785.2,3,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Chakir BOUJATTAOUI,5000m Men,Doha Diamond League,2010,Diamond League,785.7,4,,,31.0,30.0,,PB,151.8,305.5,460.1,619.2,0
Essa Ismail RASHED,5000m Men,Doha Diamond League,2010,Diamond League,789.0,5,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Teklemariam MEDHIN,5000m Men,Doha Diamond League,2010,Diamond League,797.9,6,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Ahmad Hassan ABDULLAH,5000m Men,Doha Diamond League,2010,Diamond League,799.0,7,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Abera KUMA,5000m Men,Doha Diamond League,2010,Diamond League,800.8,8,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Joseph EBUYA,5000m Men,Doha Diamond League,2010,Diamond League,812.8,9,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Daniel Kipchirchir KOMEN,5000m Men,Doha Diamond League,2010,Diamond League,813.4,10,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Mark Kosgei KIPTOO,5000m Men,Doha Diamond League,2010,Diamond League,814.6,11,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Amanuel MESEL,5000m Men,Doha Diamond League,2010,Diamond League,829.4,12,,,31.0,30.0,,,151.8,305.5,460.1,619.2,0
Tariku BEKELE,5000m Men,Prefontaine Classic,2010,Diamond League,778.9,1,,,20.0,43.0,,MR,155.4,310.1,469.1,628.5,0
Dejen GEBREMESKEL,5000m Men,Prefontaine Classic,2010,Diamond League,779.3,2,,,20.0,43.0,,PB,155.4,310.1,469.1,628.5,0
Imane MERGA,5000m Men,Prefontaine Classic,2010,Diamond League,780.2,3,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Eliud KIPCHOGE,5000m Men,Prefontaine Classic,2010,Diamond League,781.2,4,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Bekana DABA,5000m Men,Prefontaine Classic,2010,Diamond League,785.3,5,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Mathew KISORIO,5000m Men,Prefontaine Classic,2010,Diamond League,787.3,6,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Chris SOLINSKY,5000m Men,Prefontaine Classic,2010,Diamond League,788.1,7,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Daniel Lemashon SALEL,5000m Men,Prefontaine Classic,2010,Diamond League,789.8,8,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Collis BIRMINGHAM,5000m Men,Prefontaine Classic,2010,Diamond League,791.0,9,,,20.0,43.0,,PB,155.4,310.1,469.1,628.5,0
Josphat Kipkoech BETT,5000m Men,Prefontaine Classic,2010,Diamond League,791.6,10,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Abera KUMA,5000m Men,Prefontaine Classic,2010,Diamond League,791.9,11,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Hosea MACHARINYANG,5000m Men,Prefontaine Classic,2010,Diamond League,801.0,12,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Matt TEGENKAMP,5000m Men,Prefontaine Classic,2010,Diamond League,805.1,13,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Juan Luis BARRIOS,5000m Men,Prefontaine Classic,2010,Diamond League,810.1,14,,,20.0,43.0,,SB,155.4,310.1,469.1,628.5,0
Leonard Patrick KOMON,5000m Men,Prefontaine Classic,2010,Diamond League,811.7,15,,,20.0,43.0,,,155.4,310.1,469.1,628.5,0
Tirunesh DIBABA,5000m Women,Prefontaine Classic,2010,Diamond League,874.1,1,,,18.0,55.0,,MR,171.3,350.8,529.3,706.4,1
Shalane FLANAGAN,5000m Women,Prefontaine Classic,2010,Diamond League,889.1,2,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Sally KIPYEGO,5000m Women,Prefontaine Classic,2010,Diamond League,894.5,3,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Pauline Chemning KORIKWIANG,5000m Women,Prefontaine Classic,2010,Diamond League,895.3,4,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Amy YODER-BEGLEY,5000m Women,Prefontaine Classic,2010,Diamond League,896.7,5,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Wude AYALEW,5000m Women,Prefontaine Classic,2010,Diamond League,902.5,6,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Megan WRIGHT,5000m Women,Prefontaine Classic,2010,Diamond League,921.7,7,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Jennifer RHINES,5000m Women,Prefontaine Classic,2010,Diamond League,922.0,8,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Desiree DAVILA,5000m Women,Prefontaine Classic,2010,Diamond League,929.8,9,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Lauren FLESHMAN,5000m Women,Prefontaine Classic,2010,Diamond League,933.3,10,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Renee BAILLIE,5000m Women,Prefontaine Classic,2010,Diamond League,942.0,11,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
Amy HASTINGS,5000m Women,Prefontaine Classic,2010,Diamond League,999.8,12,,,18.0,55.0,,,171.3,350.8,529.3,706.4,1
