1500_finish_s,3000_finish_s,5000_finish_s
206.0,437.55,1123.0
206.12,440.67,1250.0
206.34,441.28,1283.0
206.45,443.09,1337.0
206.69,443.63,1496.0
206.73,443.64,1521.0
206.89,444.0,1532.0
206.96,445.02,1581.0
207.14,445.09,1598.0
207.21,445.11,1599.0
207.34,445.16,1604.0
207.37,445.47,1624.0
207.4,445.48,1639.0
207.52,445.54,1645.0
207.64,445.79,1656.0
207.64,445.87,1705.0
207.65,445.93,1708.0
207.65,446.02,1709.0
207.72,446.03,1722.0
207.79,446.18,1724.0
207.8,446.25,1741.0
207.83,446.28,1745.0
207.91,446.62,1747.0
207.95,446.64,1748.0
208.12,446.69,1754.0
208.21,446.81,1763.0
208.24,447.0,1793.0
208.28,447.05,1814.0
208.32,447.16,1827.0
208.37,447.18,1855.0
208.37,447.26,1861.0
208.38,447.3,1865.0
208.4,447.42,1883.0
208.41,447.5,1884.0
208.45,447.55,1904.0
208.45,447.59,1906.0
208.51,447.61,1906.0
208.57,447.64,1918.0
208.6,447.66,1927.0
208.68,447.67,1931.0
208.71,447.68,1941.0
208.72,447.72,1941.0
208.73,447.75,1941.0
208.75,447.99,1944.0
208.76,448.0,1945.0
208.76,448.02,1955.0
208.77,448.04,1963.0
208.79,448.19,1974.0
208.8,448.28,1983.0
208.8,448.28,1993.0
208.81,448.37,2001.0
208.81,448.38,2008.0
208.84,448.41,2008.0
208.86,448.44,2021.0
208.88,448.45,2027.0
208.89,448.48,2045.0
208.91,448.53,2056.0
208.92,448.56,2056.0
208.93,448.64,2056.0
208.93,448.67,2059.0
208.95,448.7,2061.0
208.98,448.7,2061.0
209.01,448.72,2062.0
209.02,448.73,2077.0
209.02,448.76,2084.0
209.02,448.78,2091.0
209.05,448.82,2099.0
209.05,448.83,2111.0
209.05,448.92,2116.0
209.06,448.93,2139.0
209.08,448.94,2143.0
209.08,448.94,2149.0
209.1,448.96,2176.0
209.1,448.98,2182.0
209.11,448.99,2183.0
209.12,449.0,2190.0
209.13,449.09,2196.0
209.13,449.11,2199.0
209.14,449.23,2238.0
209.18,449.24,2269.0
209.18,449.25,2270.0
209.18,449.32,2285.0
209.18,449.34,2285.0
209.19,449.36,2289.0
209.2,449.43,2301.0
209.21,449.43,2327.0
209.21,449.45,2342.0
209.23,449.46,2346.0
209.25,449.48,2348.0
209.26,449.49,2353.0
209.26,449.55,2356.0
209.27,449.55,2378.0
209.27,449.6,2419.0
209.29,449.69,2429.0
209.3,449.74,2443.0
209.3,449.75,2450.0
209.33,449.9,2474.0
209.38,449.92,2474.0
209.41,449.95,2483.0
209.43,450.07,2503.0
209.45,450.09,2513.0
209.46,450.09,2517.0
209.46,450.09,2521.0
209.47,450.14,2547.0
209.47,450.15,2565.0
209.47,450.23,2623.0
209.47,450.23,2627.0
209.5,450.26,2632.0
209.5,450.36,2634.0
209.51,450.36,2645.0
209.51,450.42,2647.0
209.51,450.43,2651.0
209.51,450.45,2651.0
209.52,450.46,2657.0
209.53,450.48,2660.0
209.54,450.49,2678.0
209.56,450.5,2744.0
209.57,450.53,2749.0
209.58,450.53,2779.0
209.59,450.56,2823.0
209.63,450.58,2829.0
209.64,450.62,2874.0
209.64,450.62,2879.0
209.65,450.67,2896.0
209.66,450.76,3014.0
209.67,450.76,3016.0
209.67,450.78,3021.0
209.67,450.79,3022.0
209.68,450.8,3024.0
209.68,450.82,3107.0
209.7,450.84,3213.0
209.7,450.91,3215.0
209.71,450.93,3288.0
209.71,450.94,3448.0
209.72,450.95,3451.0
209.72,450.96,3454.0
209.74,450.97,3454.0
209.76,450.99,3557.0
209.77,450.99,3563.0
209.77,451.0,3625.0
209.77,451.13,3660.0
209.77,451.14,3663.0
