Athlete,Event,Meet,Year,Competition,ResultTime,Rank,ReactionTime,Lane,Temperature,Humidity,Wind,Records,1000_split,2000_split,3000_split,4000_split
Vivian Jepkemoi CHERUIYOT,5000m Women,Memorial Van Damme,2010,Diamond League,14:34.1,1,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Linet Chepkwemoi MASAI,5000m Women,Memorial Van Damme,2010,Diamond League,14:35.1,2,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Sentayehu EJIGU,5000m Women,Memorial Van Damme,2010,Diamond League,14:35.1,3,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Alemitu BEKELE,5000m Women,Memorial Van Damme,2010,Diamond League,14:36.8,4,,,15,88,,PB,02:55.2,05:54.2,08:51.9,11:49.1
Sally KIPYEGO,5000m Women,Memorial Van Damme,2010,Diamond League,14:38.6,5,,,15,88,,PB,02:55.2,05:54.2,08:51.9,11:49.1
Elvan ABEYLEGESSE,5000m Women,Memorial Van Damme,2010,Diamond League,14:39.6,6,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Sylvia Jebiwot KIBET,5000m Women,Memorial Van Damme,2010,Diamond League,14:39.8,7,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Ines CHENONGE,5000m Women,Memorial Van Damme,2010,Diamond League,14:43.1,8,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Meselech MELKAMU,5000m Women,Memorial Van Damme,2010,Diamond League,14:44.3,9,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Molly HUDDLE,5000m Women,Memorial Van Damme,2010,Diamond League,14:44.8,10,,,15,88,,AR,02:55.2,05:54.2,08:51.9,11:49.1
Stephanie TWELL,5000m Women,Memorial Van Damme,2010,Diamond League,14:54.1,11,,,15,88,,PB,02:55.2,05:54.2,08:51.9,11:49.1
Mercy CHERONO,5000m Women,Memorial Van Damme,2010,Diamond League,14:58.9,12,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Esther CHEMTAI,5000m Women,Memorial Van Damme,2010,Diamond League,14:59.7,13,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Lidia CHOJECKA,5000m Women,Memorial Van Damme,2010,Diamond League,DNF,0,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Lindsey DE GRANDE,5000m Women,Memorial Van Damme,2010,Diamond League,DNF,0,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Zakia Mrisho MOHAMED,5000m Women,Memorial Van Damme,2010,Diamond League,DNF,0,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Margaret Wangari MURIUKI,5000m Women,Memorial Van Damme,2010,Diamond League,DNF,0,,,15,88,,,02:55.2,05:54.2,08:51.9,11:49.1
Eliud KIPCHOGE,5000m Men,Doha Diamond League,2010,Diamond League,12:51.2,1,,,31,30,,WL,02:31.8,05:05.5,07:40.1,10:19.2
Vincent Kiprop CHEPKOK,5000m Men,Doha Diamond League,2010,Diamond League,12:51.5,2,,,31,30,,PB,02:31.8,05:05.5,07:40.1,10:19.2
Imane MERGA,5000m Men,Doha Diamond League,2010,Diamond League,13:05.2,3,,,31,30,,,02:31.8,05:05.5,07:40.1,10:19.2
Chakir BOUJATTAOUI,5000m Men,Doha Diamond League,2010,Diamond League,13:05.7,4,,,31,30,,PB,02:31.8,05:05.5,07:40.1,10:19.2
