1500_finish_s,3000_finish_s,5000_finish_s
215.56,463.51,1712
238.76,469.82,1818
244.3,511.84,4266
238.8,510.09,1586
215.89,469.3,2157
217.19,454.82,1606
238.2,463.63,1954
216.94,450.91,3081
213.54,466.93,2759
216.84,452.54,3084
217.49,465.7,1999
215.55,467.81,2258
211.98,467.36,4585
214.13,467.29,1758
213.33,451.33,1906
244.36,463.7,3738
215.26,521.21,2674
241.65,460.17,2220
216.59,464.21,2337
212.82,523.75,1898
217.94,465.19,3380
213.76,467.34,2676
215.14,454.99,2962
214.59,509.83,1811
216.49,467.61,4377
217.94,461.44,2830
215.28,463.19,3215
215.36,458.16,1947
216.97,453.93,1998
216.97,463.36,3255
213.38,452.61,2598
217.9,468.74,3783
238.92,461.06,2039
215.87,466.51,2270
217.26,469.77,3360
217.31,468.2,3028
215.03,469.2,2210
240.44,464.26,2247
214.82,452.72,3411
244.57,468.5,4322
208.81,468.8,6328
216.17,461.49,3178
214.43,523.46,1517
214.11,456.1,3307
217.9,463.38,1508
237.05,522.38,1763
216.07,467.21,2506
216.97,516.9,2468
243.73,465.1,7801
216.01,517.63,2743
211.23,507.02,3513
215.88,457.5,2817
217.89,459.4,2459
215.83,458.74,2755
236.22,462.14,3294
216.85,520.44,2571
214.79,520.81,2334
214.08,524.78,1301
214.27,464.66,1815
214.68,446.03,3903
216.75,465.24,3571
215.04,464.09,2015
212.89,450.23,1913
216.16,468.82,1425
213.87,467.23,2726
243.33,464.26,4368
243.33,518.13,1878
239.68,503.14,3466
216.41,469.83,1432
217.91,467.92,2872
217.03,511.36,3252
214.4,450.56,2475
243.2,522.19,2010
214.56,456.66,14311
241.4,457.52,2323
239.31,462.68,2737
231.07,469.2,1970
243.5,520.16,2023
211.93,467.5,2546
217.78,468.5,1611
216.37,451.96,1921
243.44,463.82,2158
212.72,522.58,2230
216.99,514.62,6472
211.01,519.13,2394
213.11,519.21,2498
214.17,468.8,2423
216.12,450.48,1846
217.68,466.39,1433
216.87,524.54,2107
216.24,454.87,2429
242.67,468.5,3125
216.01,465.0,3414
215.27,453.96,2280
241.38,520.45,3584
217.93,461.19,2478
242.5,458.18,3466
216.56,466.06,1606
240.09,519.34,3213
214.28,464.5,3495
242.34,469.33,3441
244.9,523.09,2025
243.24,467.46,1826
216.99,464.79,2149
214.37,515.7,2025
213.2,459.63,1689
214.85,507.15,1989
213.82,520.96,2016
216.15,464.43,3394
216.6,463.81,2826
214.39,514.74,3557
217.6,467.27,2024
242.3,458.9,2830
217.17,457.66,1467
214.6,520.01,1639
244.51,469.47,1247
217.3,461.85,1490
217.9,461.57,3688
217.81,523.97,1579
240.53,461.3,1189
216.87,465.7,2101
216.31,464.27,2734
244.36,521.07,1727
240.53,516.7,3905
213.16,464.57,2428
217.49,457.57,1705
243.0,458.33,1697
243.27,460.63,3036
215.5,524.08,1910
242.25,462.13,2767
216.35,461.99,3227
215.4,460.43,3903
217.34,458.7,1634
215.35,468.74,1766
242.62,458.73,2933
217.6,465.33,2285
217.32,469.9,1205
244.62,454.28,1451
244.75,468.9,3625
217.11,458.83,2548
243.3,465.36,2511
215.78,447.18,2213
217.91,468.43,2940
215.05,463.33,1960
215.31,463.76,2833
214.32,522.68,1872
217.32,515.55,3186
215.77,445.02,2481
213.17,464.94,2848
244.16,469.37,1868
242.12,464.9,2040
212.0,458.1,1532
216.21,461.23,2293
244.45,520.89,3025
213.61,458.84,2913
241.86,465.37,1842
213.99,455.28,2000
215.53,512.45,2182
217.88,457.86,2502
244.23,522.47,3580
217.56,467.35,1451
216.99,468.92,1669
216.16,512.81,2701
208.32,456.84,2603
241.4,453.79,2678
215.73,508.36,1901
243.0,460.59,1839
215.7,452.99,2329
210.1,464.67,2242
214.47,463.22,2253
215.6,469.41,2499
217.8,465.36,3094
243.96,451.2,2967
240.51,522.47,2061
213.98,516.53,1634
241.4,522.81,4293
211.88,456.29,1396
217.81,461.3,9244
217.68,468.59,2875
239.47,518.36,2513
214.67,459.13,1508
217.22,521.09,2467
217.46,459.21,2943
215.09,521.33,1826
216.32,462.16,2859
216.46,518.04,1245
212.47,464.04,1469
215.32,467.27,1869
217.54,467.79,1604
240.59,457.51,3130
214.7,523.12,2038
242.64,469.38,12475
240.89,468.08,3383
217.2,519.9,3550
217.3,457.05,4200
217.0,524.32,2461
242.37,464.45,2318
210.8,460.1,2705
212.85,463.67,2031
216.92,459.84,1924
214.6,467.0,1237
211.21,524.49,2993
217.32,468.61,2679
217.13,463.93,2139
217.44,511.98,1643
214.26,469.35,3660
238.91,462.72,1445
214.36,523.13,1797
210.77,456.78,2762
213.6,467.35,2358
214.59,469.88,2345
217.36,446.69,2575
217.68,462.6,4034
212.41,459.15,1829
217.88,522.52,1699
213.4,467.8,2001
235.76,458.5,4230
243.15,467.26,2549
213.64,466.07,1337
217.48,518.6,1549
217.19,465.06,1912
217.42,517.4,1067
243.71,520.81,2740
215.9,468.54,3267
243.29,467.39,1701
217.2,466.6,2699
241.0,520.97,2452
216.2,464.47,1408
213.52,463.24,3268
211.48,515.45,1852
216.48,467.26,1503
241.81,468.59,3065
217.27,523.45,1639
210.64,466.41,1221
215.51,465.98,1946
216.22,461.29,2056
212.37,460.56,2078
214.74,459.6,1166
210.22,466.33,2352
238.1,463.82,4092
216.64,463.78,3005
213.95,465.8,2043
217.67,463.84,1646
217.75,515.82,2589
214.28,465.8,2181
212.73,512.53,1509
216.9,463.34,1324
214.92,461.56,1569
214.93,462.6,2008
209.78,520.34,5303
241.06,461.81,3922
214.44,512.62,2543
210.66,524.02,3448
212.82,462.58,2260
217.4,456.37,1423
210.78,466.6,3827
216.42,522.49,3389
214.82,458.08,1976
214.43,467.16,13376
214.41,512.53,3832
240.77,524.38,2484
212.04,453.13,2190
212.19,463.01,2129
237.26,504.4,3080
214.6,511.23,1931
243.83,466.34,2740
214.76,522.09,4443
215.78,465.65,2456
217.96,462.24,1471
217.54,468.99,3670
216.99,461.59,4510
217.17,468.37,1733
243.4,468.55,1754
214.35,467.68,2621
215.35,457.49,2056
217.27,515.31,1896
215.27,467.16,1925
216.55,524.29,1737
215.6,507.83,1777
244.55,464.53,2321
217.37,468.8,1996
217.21,513.79,2568
217.4,456.76,2195
243.99,469.98,3895
214.85,462.49,1429
242.1,468.46,2535
212.78,513.01,1387
217.05,469.3,1530
216.31,523.82,1957
216.7,457.41,1980
244.79,463.99,1308
212.95,456.83,3204
215.45,467.34,1901
217.41,465.66,1865
244.4,510.25,1845
215.82,462.05,3625
217.11,510.86,1698
215.02,461.88,4360
215.75,514.31,16503
216.05,516.48,3090
217.43,520.82,3121
214.76,464.68,3692
214.49,467.4,2762
214.39,457.49,2842
212.3,459.46,2896
244.4,466.21,1969
216.72,466.2,1747
217.8,511.89,1932
215.45,456.69,2473
213.89,468.21,1141
217.77,466.66,1549
214.49,513.38,1053
216.67,509.71,1846
217.34,462.42,5900
244.74,463.99,3297
216.18,469.57,2494
215.29,464.08,4441
217.0,523.32,1572
214.62,468.71,3317
217.33,458.95,2010
215.49,467.24,2337
215.94,523.14,3231
216.54,518.05,2987
217.59,460.96,2223
216.79,465.21,1478
214.59,465.41,1966
244.5,466.36,3670
217.91,465.67,2837
244.9,459.93,4384
234.11,468.85,1366
215.93,468.31,2084
214.19,521.38,1682
213.59,460.86,2791
213.7,464.48,1985
210.66,514.6,1771
241.56,465.85,2744
216.48,465.41,3680
241.01,469.4,3046
217.72,466.84,2549
215.99,461.27,3312
216.87,523.66,2662
216.15,456.33,1951
217.73,459.08,3172
241.3,468.33,2414
214.53,457.4,2059
240.83,469.75,4279
243.62,465.32,1472
244.6,468.76,3439
217.8,463.6,1496
240.06,458.26,3672
216.6,469.42,3241
215.06,468.4,2047
214.02,519.51,2375
213.71,522.52,193920
243.29,462.05,1853
244.36,503.55,3123
241.26,519.45,2248
244.39,517.76,3328
237.3,469.03,3445
241.8,453.15,3686
240.32,468.41,3422
244.75,467.31,1681
213.0,466.31,24105
217.6,469.8,3110
244.73,469.6,2080
243.91,515.05,4357
215.27,523.3,4439
216.4,510.66,3490
215.62,507.51,3586
243.31,524.22,1735
212.76,506.53,1379
215.77,509.58,3903
216.5,463.98,1798
243.2,524.1,3164
243.22,461.93,3286
216.26,523.92,1936
216.6,464.24,1446
211.91,466.75,3678
212.1,461.48,2292
214.35,454.99,3205
213.46,517.46,2299
216.23,463.27,2003
214.38,458.3,1770
215.99,448.94,1428
217.33,466.82,2544
214.17,465.22,1758
215.01,469.1,1874
243.76,467.46,1797
241.86,460.28,2611
216.33,469.45,1776
217.97,516.54,3035
243.1,466.18,1627
243.36,524.1,1685
242.1,469.12,3012
244.39,463.79,3422
243.51,466.28,1928
217.41,464.93,2256
215.82,515.11,3095
243.83,469.88,3567
216.11,464.67,2004
212.44,468.6,2448
217.25,455.53,1908
217.74,468.33,2621
217.75,462.76,2124
216.4,524.5,4461
217.81,464.64,2704
215.8,469.05,4219
214.54,518.0,1841
243.88,458.43,1534
217.46,515.11,1501
212.03,467.84,3415
217.37,452.25,4437
236.92,522.39,2872
244.42,464.91,3265
213.23,519.1,1173
216.51,452.55,3920
214.84,461.5,2714
217.74,461.83,1584
242.57,523.97,1771
236.72,466.87,2464
217.32,511.45,1833
217.55,466.39,2334
214.45,454.98,2468
244.14,466.6,3481
216.72,520.95,3361
216.43,463.28,1317
215.58,469.8,3784
217.45,465.03,3578
216.27,462.82,1963
239.48,463.28,3324
214.37,524.0,3282
211.78,459.58,2038
237.1,468.81,2592
243.5,460.02,1753
217.4,458.69,3782
211.43,467.71,2131
217.61,524.46,2809
214.87,466.26,1838
216.47,509.25,1105
214.97,522.51,3137
213.68,458.73,1567
215.93,465.05,1941
216.51,465.0,2919
243.11,513.13,3232
213.62,453.32,1518
215.6,463.1,1644
214.13,461.3,2377
216.57,466.16,1773
216.24,466.03,2477
240.83,468.91,1502
216.93,469.95,2500
215.29,464.85,1502
216.23,463.47,1728
216.8,465.11,2352
240.42,455.45,1554
217.2,521.08,1727
216.58,464.53,14310
241.54,468.7,1361
217.4,520.98,1849
213.77,465.5,4110
243.5,504.2,3422
243.01,465.46,1986
243.9,522.6,3024
217.56,455.84,1642
217.4,510.76,3324
215.59,459.69,1641
214.64,460.49,1899
215.11,458.96,1772
215.2,465.36,2591
241.68,521.6,1657
214.78,465.73,1732
215.93,463.22,2069
215.4,456.53,3197
243.42,468.8,3902
212.43,468.36,1497
216.18,463.9,1091
215.71,453.56,4226
217.3,463.98,2014
216.72,466.2,3204
215.52,467.87,1811
215.27,464.32,2734
217.7,469.91,3328
242.91,465.09,1712
244.21,459.73,2470
244.79,465.35,2940
244.81,453.28,2672
241.0,454.85,1365
217.2,464.45,5073
215.66,468.38,3935
216.49,466.1,1470
217.81,523.7,2969
242.72,453.05,1789
244.36,460.49,1378
210.23,524.49,1674
217.63,465.9,3591
212.05,523.69,3138
216.77,461.56,1333
244.08,462.19,3591
217.75,458.95,1850
213.94,465.2,1502
217.24,458.31,1492
243.32,454.37,2599
240.24,524.3,2192
244.54,468.18,2608
215.11,514.53,2636
214.22,460.18,1780
215.86,465.53,2032
244.44,464.31,2524
242.7,457.64,1496
216.74,468.94,3517
217.87,522.16,1420
217.07,466.86,2358
239.09,506.3,2426
215.4,460.21,2157
217.68,455.73,1571
243.79,457.97,3868
215.82,462.4,2703
216.11,462.4,2958
213.38,509.32,1562
217.26,515.18,1728
216.34,468.45,3022
244.2,469.19,2121
217.99,499.78,3215
243.96,466.73,3588
214.94,466.13,2678
244.0,519.67,2017
214.27,509.05,2768
240.86,464.83,2660
217.91,457.69,3496
217.03,462.8,1642
212.06,456.32,1913
241.96,451.83,2182
215.23,466.26,3546
214.77,469.45,1853
243.05,459.02,2061
215.73,469.59,2464
217.37,521.96,3442
243.94,469.82,1266
216.7,467.06,1776
215.17,462.3,4765
217.96,462.93,4116
214.65,461.73,2940
214.05,454.32,2006
217.66,516.87,1499
216.45,462.42,2372
217.17,460.04,3599
217.23,466.17,1195
212.73,465.8,1100
242.6,469.19,2162
216.57,523.46,1468
217.59,465.92,2573
217.65,461.46,23833
216.35,462.08,2282
216.19,468.18,2996
244.36,450.76,1578
215.49,463.63,2284
244.44,465.4,2835
242.26,452.43,1501
217.3,468.27,2816
217.75,466.05,1904
217.9,510.3,6652
216.74,449.69,2056
217.85,524.9,2661
244.78,522.4,1224
213.38,465.42,1701
216.24,452.23,2390
217.08,463.92,1216
217.72,466.77,2120
217.53,456.79,1872
237.71,512.07,3698
215.63,462.94,3987
215.53,458.22,2122
214.21,520.23,1784
216.24,518.38,1484
217.94,516.2,3020
217.2,463.69,1195
243.58,463.7,2088
216.13,467.68,2492
213.92,460.42,1739
211.64,461.78,3318
217.28,522.84,2003
213.59,468.2,2298
217.68,464.92,4249
211.08,458.03,1803
216.8,460.9,2256
217.69,462.27,1738
213.62,515.32,2368
217.76,467.78,1681
241.81,462.1,2786
215.28,523.33,3137
216.72,462.4,2181
216.49,458.27,3483
217.85,513.16,2151
215.37,459.17,3318
244.09,464.8,3049
242.58,522.45,1408
217.65,468.26,1633
216.14,452.71,1979
244.23,465.7,1417
217.21,508.41,2839
215.5,465.22,1644
216.09,469.87,3981
210.24,462.12,3251
216.78,511.39,3414
214.77,467.18,1176
214.8,516.33,2292
215.74,468.81,3343
217.39,467.4,1813
216.47,463.9,2761
217.68,469.1,2547
216.99,459.99,1981
241.47,466.67,3077
215.02,464.7,3421
239.57,457.7,2166
217.15,466.25,2696
217.86,457.56,2294
213.58,518.15,3168
239.12,517.48,1637
215.8,467.26,2085
215.05,517.58,2407
217.52,466.1,2907
215.57,458.78,1351
215.07,523.55,2005
216.7,461.46,3197
212.43,451.83,2171
242.21,468.45,2644
217.91,457.65,1759
243.7,465.23,2497
239.57,457.76,2452
216.69,462.73,1819
214.11,524.93,2246
215.92,464.7,3595
216.53,465.46,1934
215.8,467.35,2222
217.3,466.42,2060
216.33,467.0,4500
216.64,464.07,2708
213.43,522.14,6218
240.75,516.29,1501
244.81,467.06,2651
239.22,513.85,3238
216.9,521.68,1311
215.38,521.07,1651
213.83,457.97,2476
212.44,466.95,1783
217.11,522.46,3003
212.74,467.06,1341
214.14,463.2,3579
216.84,464.23,2259
214.23,467.89,2962
244.69,524.77,3791
244.99,466.59,2084
216.74,465.92,1915
217.84,522.63,1889
217.3,468.04,2414
217.04,464.15,3313
213.54,523.8,2719
215.56,469.8,1388
213.92,456.56,1749
217.27,468.72,2422
209.47,461.25,4467
215.81,467.65,3288
216.44,460.93,2676
213.7,510.65,1901
214.29,466.56,1705
243.05,469.79,3450
217.6,524.9,2401
216.53,468.97,2379
241.81,458.97,1836
211.51,467.12,1650
216.91,458.64,1282
217.24,463.2,2878
212.21,515.45,2026
239.27,459.45,4098
243.7,454.26,9467
216.82,463.68,1738
217.29,459.0,1525
244.96,466.17,1789
214.2,509.48,1951
237.87,469.92,2859
244.53,523.67,2836
216.23,469.92,1392
215.7,469.84,3021
236.65,469.0,1620
216.41,460.78,1782
217.18,465.35,1799
217.39,505.23,2976
241.81,521.29,1326
216.14,453.37,1439
213.15,469.9,3799
244.42,444.0,5185
217.73,460.43,2327
217.8,467.88,4530
213.25,462.88,1906
217.91,465.98,3639
243.5,459.99,9592
215.2,464.24,3537
217.81,468.33,1993
213.61,463.14,2341
217.84,509.02,1768
217.28,523.2,2363
217.07,459.4,1772
244.18,469.5,3076
244.0,519.87,1885
214.36,468.6,4520
243.09,519.95,2079
244.48,517.65,3420
239.67,466.94,1588
214.52,466.4,2139
241.01,454.4,3840
216.68,460.05,2280
217.79,520.84,2263
237.08,465.08,2051
242.49,469.55,1843
215.75,458.41,1366
243.2,461.78,2823
215.16,523.98,1678
241.23,466.99,2419
214.79,464.55,1712
216.88,513.35,3367
239.49,461.55,1342
217.33,524.92,"(None, None)"
244.96,456.27,1518
216.03,447.55,3423
215.74,469.23,1828
217.03,469.34,2604
213.69,508.8,1700
217.26,463.2,1927
210.0,466.31,1789
241.4,464.3,1934
241.79,520.59,2450
216.97,461.75,1567
217.93,461.62,1965
210.81,523.39,3016
217.16,465.3,2769
213.21,465.5,1895
215.04,518.51,3026
242.79,464.56,3429
239.95,522.1,2997
214.14,462.23,3087
216.81,464.17,1602
215.8,460.3,3733
212.69,460.34,2494
216.53,506.78,1924
217.69,515.76,1712
216.85,469.45,2285
242.78,463.28,1775
215.24,461.45,2907
217.78,469.32,2716
244.64,455.71,1116
217.05,468.03,1413
216.71,462.76,1873
234.23,463.9,1922
215.49,468.67,1480
243.08,511.27,3291
216.96,469.65,1934
213.11,520.97,2702
217.17,464.8,3538
216.21,520.08,2953
214.16,468.31,1246
213.99,463.11,1676
217.36,524.43,2928
239.71,463.54,3759
242.9,461.87,3427
216.96,524.7,2299
234.38,463.62,2487
216.35,455.68,2114
216.32,463.4,2092
