1500_finish_s,3000_finish_s,5000_finish_s
216.38,464.01,3092
215.0,467.71,3552
217.47,459.19,3368
210.15,519.41,2615
212.68,459.32,2789
214.45,469.45,2858
215.01,468.64,1872
244.94,469.88,4667
217.43,514.65,1774
217.77,469.36,2160
243.05,462.22,3340
217.18,460.82,2250
216.97,466.66,1889
216.74,460.01,1758
215.49,520.08,1969
217.88,465.5,2296
217.46,516.48,1961
214.1,457.65,1092
217.9,509.59,2474
216.73,454.75,2233
244.59,467.43,1921
215.04,524.2,1810
216.91,461.73,2145
212.06,460.2,3776
244.47,466.6,2320
242.38,460.13,2889
217.67,464.7,1654
217.62,524.5,1732
216.2,464.66,3031
243.7,469.26,2293
216.09,455.8,2595
244.35,456.98,1459
213.97,466.59,1388
214.58,449.09,1506
215.93,468.72,1815
217.54,520.27,6866
216.52,462.78,1802
217.52,468.8,4472
216.61,463.12,2220
239.5,467.11,2411
239.58,467.24,3423
243.89,465.43,1809
242.21,467.47,1654
217.66,461.3,1620
213.91,460.03,1908
211.96,463.61,1669
215.02,524.41,4404
214.8,518.97,1993
217.27,460.47,1504
217.22,462.06,3317
214.15,460.86,3366
217.64,468.46,3579
215.51,514.81,2401
215.65,464.83,3558
216.84,469.91,1458
236.68,465.26,2984
216.72,519.47,1963
217.08,465.53,1987
214.55,469.55,4314
215.33,506.44,3251
215.98,461.85,2260
216.82,520.99,7434
215.42,466.4,2056
216.58,508.87,2100
216.0,462.17,3288
215.24,468.73,2601
217.82,458.18,2861
216.8,464.21,2113
217.76,465.02,2979
215.78,522.54,1699
243.08,468.5,3584
241.42,521.07,2209
217.11,465.01,2342
206.45,469.75,1836
215.77,519.85,3788
241.49,519.18,1552
244.83,468.48,2111
217.62,466.0,2611
215.87,466.41,3193
214.93,455.14,1136
214.34,469.86,1945
216.61,517.3,1597
212.0,468.03,2747
217.57,516.08,2945
240.7,466.26,23835
213.61,512.8,1889
243.87,466.96,3387
212.28,459.65,3024
242.12,467.02,1880
216.55,465.03,3067
243.83,465.26,1268
216.8,448.53,3225
213.91,464.6,2447
244.31,520.59,3860
216.66,515.86,2786
215.8,462.35,2264
244.28,462.95,2652
242.16,469.89,1635
212.57,521.17,1805
217.61,466.2,1918
214.55,517.04,3670
216.66,468.35,1841
241.95,468.8,2079
244.59,461.11,2814
217.8,469.4,1973
215.96,510.43,1928
210.16,519.47,1790
242.13,518.61,1670
214.25,463.47,1769
215.83,469.6,2287
241.52,469.31,3950
243.33,520.84,2183
215.57,513.57,2410
243.29,461.03,1373
217.46,463.7,2591
243.07,521.36,1864
244.24,460.94,2079
212.86,466.34,1677
217.61,468.07,2380
244.9,459.96,2129
236.0,469.79,1374
213.7,522.48,2487
215.52,457.95,4364
235.3,467.52,4251
211.74,467.95,1525
215.59,469.47,1196
239.58,456.11,1361
242.43,466.69,2582
217.19,455.72,2431
216.57,514.99,3447
217.7,465.3,1735
213.73,517.55,1817
217.73,519.75,1791
216.7,464.73,2949
240.98,465.95,3494
217.68,469.2,3046
213.98,455.69,1971
214.89,468.8,2535
240.86,466.79,1830
214.48,461.37,3429
216.14,466.86,2604
212.7,466.9,2385
214.35,465.28,2383
210.93,524.54,2065
240.37,465.93,3027
214.5,453.36,1845
213.13,448.94,3733
215.84,517.04,5900
216.84,524.21,1422
212.48,466.14,2703
212.52,459.29,1629
217.76,450.99,2714
210.71,463.23,1773
217.16,457.6,2039
216.83,463.59,1567
213.59,523.1,2577
242.96,446.02,1430
243.21,517.65,1134
217.48,454.36,1750
217.73,468.74,1915
241.81,462.08,4012
217.69,460.49,1425
213.49,453.13,3015
217.8,457.08,1819
216.91,523.67,3979
217.39,465.03,1622
244.88,522.78,1812
242.91,464.37,3423
242.09,469.9,3015
217.06,521.07,2859
243.47,469.57,3503
244.13,462.42,1781
216.48,467.0,2408
216.58,468.52,1191
217.96,460.78,3469
217.99,452.62,1343
212.46,465.4,1390
243.58,514.79,3495
215.72,521.58,2329
216.9,469.93,1300
216.39,467.16,1911
242.12,522.85,3828
213.97,469.7,1701
217.95,469.3,4328
214.32,515.42,3670
216.75,469.1,2382
214.69,462.35,1471
215.37,466.33,2027
217.25,465.6,2167
243.56,459.21,2614
217.8,469.68,3169
244.61,521.91,3261
216.22,468.93,2647
209.9,511.36,1521
242.6,509.05,4627
217.73,524.1,3604
216.49,456.28,2368
216.49,465.04,2759
217.81,468.2,3504
215.81,466.67,2632
214.51,468.72,1760
213.1,466.63,2547
216.4,513.35,1701
216.5,466.82,3350
215.75,523.71,2481
217.75,466.26,2363
238.54,469.29,2496
243.68,467.22,2318
217.13,445.09,1911
241.98,460.01,1631
210.94,463.73,1299
242.95,468.51,2674
208.51,461.31,2713
217.18,468.38,2246
216.78,468.94,4403
217.01,468.78,1616
215.73,467.23,3148
217.32,468.12,1414
241.28,523.45,2158
215.35,452.57,1979
244.76,522.54,1224
213.0,455.6,3059
213.22,461.87,4689
213.89,468.09,2284
215.75,513.29,3445
217.54,462.83,2176
215.8,467.76,1426
214.61,518.69,2549
216.59,468.01,2500
215.92,469.77,3265
210.8,469.88,2719
217.76,508.9,3533
215.34,522.28,1161
215.27,522.12,2258
212.43,467.28,2713
217.58,524.29,3014
214.65,468.53,1389
213.3,459.5,2289
213.8,462.16,2121
214.83,469.99,2173
216.97,515.37,1819
217.9,511.88,1151
215.87,524.07,4252
216.87,463.7,3672
217.4,449.11,2116
240.58,506.97,1665
216.55,502.34,1248
241.15,462.83,3222
214.77,458.42,2219
241.69,468.35,3209
240.79,467.18,1459
244.3,469.21,1963
217.7,465.91,2192
217.74,466.95,3334
242.79,464.39,1598
216.64,469.46,2520
212.97,463.3,4441
215.35,463.99,2948
215.82,464.21,3412
215.63,521.3,1981
242.65,518.01,2892
217.51,468.81,3711
217.54,461.4,1907
215.81,461.51,6328
244.16,461.41,1934
241.45,515.7,2997
216.9,464.33,4098
217.89,516.2,2597
213.98,460.34,3530
216.47,512.0,2976
217.17,524.21,2809
241.93,464.52,2475
242.83,469.87,2927
213.4,467.79,10420
217.17,463.48,1543
237.08,463.42,2210
216.56,517.68,2445
216.8,466.61,953
239.48,466.69,1936
214.25,520.1,1585
217.01,462.88,2332
216.68,467.31,2399
216.6,506.48,10036
213.2,461.8,2364
217.9,522.15,2756
244.11,469.21,2190
237.29,467.7,3490
216.23,463.1,1232
215.27,455.97,3592
216.89,464.23,2366
243.84,458.15,2941
216.71,463.5,1705
214.5,458.4,1633
244.17,463.0,2349
216.25,519.94,2432
217.57,460.43,3643
216.45,455.41,4267
240.34,517.76,1988
217.62,467.68,3099
215.82,464.19,5200
242.2,514.85,1819
217.51,452.52,2535
244.58,467.24,1810
215.35,517.58,4186
243.28,457.09,1938
217.36,464.6,1941
213.46,466.5,1966
217.27,468.76,1752
216.62,456.28,3094
217.44,460.37,1306
241.04,462.22,1856
214.57,465.16,2006
209.91,462.49,1658
242.59,521.22,2873
216.46,518.71,2095
217.55,516.46,3346
214.39,460.79,1543
214.4,504.05,2608
213.2,462.86,2042
216.84,468.6,1584
217.03,466.39,2634
217.36,468.7,1510
212.81,524.35,1311
214.0,463.2,2155
211.1,522.19,2256
216.6,459.09,1671
214.9,466.22,1530
214.89,453.35,1468
217.46,458.41,2981
213.85,500.07,2485
215.82,465.63,1793
216.67,460.99,1470
214.12,514.5,2184
212.79,458.35,1960
215.7,467.27,2565
243.23,451.4,1161
244.6,462.98,2722
216.31,459.42,1205
212.72,463.82,1977
216.17,458.47,4586
216.07,524.81,2025
214.0,454.87,1226
216.9,509.69,2017
216.5,469.52,3442
210.88,467.16,1922
217.15,462.39,1979
217.04,457.68,1822
214.45,461.31,3472
217.41,463.76,1709
216.6,468.52,4296
240.32,469.26,1673
215.43,469.79,2728
217.75,524.21,2343
215.09,468.04,2181
242.26,457.15,3138
217.88,515.5,1537
213.96,462.23,11589
217.48,459.02,1701
216.48,508.72,3026
243.25,462.27,1887
215.5,522.62,2414
216.36,466.67,1371
242.65,467.83,1613
214.68,453.3,3312
217.69,469.46,1460
216.89,455.61,2497
214.41,508.66,3604
217.1,452.36,2141
215.7,462.14,2079
217.43,518.67,3515
243.18,520.96,1925
238.92,461.37,4394
215.21,513.83,87000
216.43,459.96,3295
216.75,467.63,5896
242.35,524.99,4038
217.19,461.21,1474
242.67,457.7,3515
211.95,468.08,2108
215.31,462.51,3439
215.27,469.86,1932
244.67,454.27,1931
217.67,469.71,2026
212.96,467.68,1795
212.29,466.16,3488
217.0,468.55,1166
214.27,468.47,4016
243.2,515.45,7801
244.88,458.92,3400
217.46,468.47,1808
217.53,466.42,2849
215.69,463.16,3706
241.64,521.68,1604
215.99,468.02,2271
214.84,454.41,2434
214.7,457.4,2367
216.29,462.9,2998
214.77,456.59,1657
213.68,518.31,1772
217.6,452.94,1458
213.47,465.0,4799
216.0,524.72,2206
243.69,469.57,1456
217.2,461.8,2023
215.43,454.57,14162
217.7,517.0,2283
212.81,469.98,2530
212.16,465.08,2161
216.71,468.96,2377
233.22,453.0,3579
215.92,519.29,3928
214.01,466.71,8296
212.21,462.38,2464
209.05,462.83,2575
209.51,453.36,3580
241.06,508.05,1800
217.56,467.59,5854
216.23,460.39,3533
244.05,466.3,2223
211.06,469.41,2769
213.99,457.33,4693
217.92,468.35,1475
241.77,465.91,1875
216.15,521.42,12630
217.73,513.36,2237
243.64,469.86,1205
236.79,468.88,1591
215.85,516.71,1778
215.4,523.13,2207
216.4,469.95,1670
244.76,467.71,3436
243.13,514.66,1639
244.08,467.96,2292
217.44,468.49,2322
214.73,456.71,18559
217.42,504.51,1923
217.36,459.02,1821
216.43,451.88,3117
215.21,522.57,3323
216.65,469.82,2820
213.0,461.03,2811
212.37,459.27,2445
243.71,522.35,1775
216.47,457.73,1477
217.14,524.8,1940
213.63,461.03,2680
244.17,464.42,2708
213.81,461.59,3318
214.35,467.22,2793
213.27,462.0,2113
217.42,460.72,1915
215.4,513.4,3927
212.43,465.8,3294
239.45,466.62,4442
217.49,464.53,2965
212.81,469.74,3378
242.97,469.25,3279
244.09,465.2,2672
216.77,515.32,1570
216.19,469.05,2006
216.9,520.16,3660
217.66,461.61,1998
217.04,464.36,3492
238.67,458.03,1646
214.52,514.9,2285
244.56,512.18,2107
217.3,465.99,2047
234.32,469.58,2458
216.65,468.0,1435
243.24,450.53,2808
244.84,464.4,2892
217.98,465.17,2958
212.6,458.7,1165
217.82,458.89,1620
216.82,462.76,2412
216.94,461.5,3723
217.04,467.36,2982
216.13,521.49,2917
217.54,524.02,2019
215.86,467.8,1748
217.6,462.29,2498
217.86,464.91,1253
217.05,467.86,2004
214.76,468.71,1184
217.37,468.82,1562
239.37,460.11,1637
215.13,455.15,1598
217.46,468.18,1966
216.36,469.8,4501
212.84,464.78,3197
217.3,449.92,3762
244.34,461.41,2110
215.2,464.65,2294
213.92,461.61,2235
217.9,469.67,2750
214.99,468.6,2763
243.08,465.4,1313
243.39,465.52,4502
241.78,463.2,2859
214.12,462.02,2191
217.71,463.27,1621
216.0,467.13,2524
217.48,455.53,2611
215.8,469.05,3858
214.08,521.27,2321
215.26,445.11,3454
217.7,468.17,1494
215.94,457.64,1698
241.41,456.72,3465
240.09,468.94,2466
210.04,463.94,2936
237.05,522.48,3085
217.26,524.11,3124
217.29,521.41,1560
217.02,463.94,1579
214.36,524.98,2165
217.86,512.1,2821
214.2,509.05,2755
243.51,469.98,2610
215.06,461.4,1042
216.2,459.72,1875
242.21,521.08,1450
215.22,459.61,2015
214.96,460.25,2265
217.63,461.83,2151
244.92,464.64,2444
214.02,467.86,2220
216.59,467.22,2253
217.85,465.6,1777
216.52,462.97,4691
214.59,461.5,1854
217.43,465.3,1867
217.47,458.11,4500
243.47,456.75,1735
213.41,465.4,1992
241.5,524.38,3417
213.69,464.73,2181
242.83,510.99,1600
217.2,448.82,1629
212.86,449.9,2537
242.76,469.02,5438
217.85,457.14,3497
216.0,524.57,4445
215.87,468.02,3420
212.9,463.6,2065
216.52,523.76,1995
215.34,465.68,2435
217.13,458.77,1366
217.18,462.84,1471
217.08,463.67,2128
217.69,453.32,1488
216.22,455.52,2301
217.21,466.36,1365
240.25,459.9,3718
216.55,463.89,3931
239.3,469.37,2438
217.64,466.05,1517
216.45,463.92,1951
244.2,520.01,6705
215.86,461.9,2158
217.5,463.1,1324
215.1,469.23,3218
217.55,455.13,1809
215.86,469.9,3279
243.5,468.59,2021
216.46,521.52,3396
213.42,469.18,1882
241.21,462.18,3029
215.5,467.89,2200
214.6,506.35,2211
214.56,466.01,1543
243.52,458.98,1800
243.18,462.24,1663
242.94,468.39,1764
216.26,466.0,2136
244.83,468.39,3271
214.8,461.68,4625
214.79,467.97,2595
216.25,507.62,1163
217.0,507.12,1320
213.08,469.2,1736
244.31,457.72,1937
216.71,459.32,2231
214.3,468.13,2996
239.73,468.8,1508
239.04,469.01,4523
213.89,512.33,1750
216.58,466.72,3175
214.73,516.87,1613
213.36,466.6,1703
211.72,454.78,4692
216.24,460.56,1572
215.8,511.89,4067
216.35,454.83,1711
215.62,467.2,3496
215.05,508.96,2013
217.8,467.3,1809
217.6,457.62,1603
217.93,456.78,3187
217.64,468.85,1772
216.97,465.53,2804
211.97,459.65,1856
217.91,513.99,2636
214.29,468.48,2653
217.96,523.08,2010
211.95,462.08,2287
244.9,457.49,3608
242.0,523.6,1869
239.63,462.68,2162
212.38,462.75,3171
235.59,455.99,2714
216.2,522.47,2470
215.37,519.14,1620
244.22,518.45,1726
243.9,467.21,1394
215.96,456.76,2043
214.31,457.16,2060
215.74,451.81,1442
238.81,506.5,1522
212.86,469.09,2358
217.7,461.59,1653
217.99,522.39,219525
213.8,524.29,1661
216.34,524.45,14311
241.79,469.12,3512
217.52,518.55,2139
217.72,464.19,3168
217.57,465.06,1060
217.68,468.81,2778
217.27,465.29,2216
217.45,455.46,1887
240.53,510.39,1961
217.99,467.1,1390
214.49,512.7,2536
213.44,467.78,2000
216.63,465.86,2337
214.18,468.81,4067
238.6,465.97,1789
241.39,468.2,3535
244.16,464.23,3087
216.51,466.71,1317
210.6,468.18,1374
244.07,515.31,2274
213.15,466.47,4031
216.76,458.3,2483
243.1,467.77,1969
214.85,518.43,2955
215.81,521.74,1919
213.98,469.09,2902
215.56,466.91,1929
243.78,467.2,1784
216.78,523.39,1175
214.11,458.9,2651
217.03,460.21,2290
235.14,468.4,2407
213.01,468.78,3042
209.91,516.29,2885
242.83,507.25,8282
216.33,457.05,3438
216.88,468.5,3521
214.99,459.89,2028
217.08,520.32,3076
215.76,460.43,2660
244.01,468.47,2415
210.68,469.84,1581
215.97,521.3,1464
216.53,462.53,2136
214.69,452.16,2957
244.64,519.21,1772
241.31,515.13,2579
244.61,468.2,1728
217.37,454.4,4201
217.0,466.4,2452
215.58,459.85,2356
217.1,517.8,2145
215.16,464.71,1377
217.69,467.61,1890
243.01,456.08,1392
211.74,524.46,3312
216.49,459.12,2872
212.75,468.36,1173
243.8,461.33,1482
243.25,468.42,1547
215.05,464.71,1749
216.38,467.0,1642
215.18,461.84,3382
214.98,469.5,1621
215.96,514.58,2759
217.3,467.67,1925
216.84,467.34,1385
241.26,467.16,2068
243.42,524.92,3588
216.4,462.65,2178
241.58,506.7,3039
217.07,462.58,1826
211.17,511.75,4341
215.26,469.98,2142
215.24,467.68,2061
215.31,464.65,1851
244.47,468.9,1783
214.9,520.22,2215
217.31,466.08,2760
217.04,458.7,1365
212.96,467.21,2928
214.83,522.6,3142
215.65,524.09,2935
214.73,468.2,2545
217.97,517.63,2415
215.48,510.28,2191
216.32,455.43,2000
217.27,469.53,2248
242.08,522.84,2430
244.96,461.92,1838
244.02,469.78,2347
243.83,467.16,2770
210.79,468.6,2702
217.0,513.38,2421
213.82,469.53,1950
244.34,454.7,2815
241.7,461.64,14171
217.75,452.55,2394
213.43,468.9,1835
215.75,462.39,3144
216.01,453.92,2038
236.57,468.24,2177
236.56,469.64,1689
217.06,524.46,1334
242.39,505.03,2798
217.26,523.0,2287
243.72,469.28,2157
217.86,450.09,1581
214.96,461.41,2124
217.2,454.07,2728
215.45,518.42,3397
215.8,464.99,16501
215.95,467.61,1380
217.53,462.47,2284
243.75,466.63,2765
216.54,524.34,1975
215.12,505.82,1613
243.43,451.33,3085
216.54,468.97,2913
238.42,519.88,3607
244.89,468.63,2519
241.75,466.74,3113
243.5,468.15,1622
210.92,467.78,1884
214.1,448.0,1711
216.8,461.84,2799
237.64,453.86,2125
217.25,469.45,2447
217.3,465.48,2133
217.83,468.66,1492
214.01,452.01,2842
217.4,463.76,2369
216.33,524.9,1267
215.91,458.15,2414
217.07,467.09,3467
244.27,467.99,1999
211.72,468.73,11371
243.79,469.45,1348
244.83,469.64,3661
217.88,456.47,1344
243.15,468.55,2510
215.34,468.77,6032
217.26,468.45,3903
241.4,466.0,4145
217.43,464.0,2575
213.05,462.44,3281
217.98,469.75,5596
214.0,523.55,3268
215.44,467.68,4233
215.12,455.91,3883
214.23,469.9,1611
216.96,448.94,1939
215.04,465.22,2240
214.49,523.23,3351
217.89,469.2,2016
216.61,464.88,2878
216.54,467.26,2342
217.3,459.95,1598
214.55,466.96,2226
217.1,454.71,2073
217.83,469.44,3697
213.83,463.36,3295
212.13,456.71,1505
216.23,465.2,2003
216.39,524.05,1502
215.6,453.96,4583
217.91,464.89,2355
217.97,523.9,2238
215.41,466.66,3228
243.02,464.24,3041
214.99,464.59,3828
217.62,459.4,2521
213.41,457.23,2377
213.92,468.61,2578
244.82,458.08,1729
214.54,514.53,4034
217.58,522.64,1343
217.35,466.85,3270
242.65,458.07,2268
217.8,508.27,1462
216.24,523.0,2431
215.74,463.9,2396
242.74,465.36,4071
215.46,466.06,1332
217.2,459.17,3083
212.94,462.96,2861
241.62,465.74,1477
242.69,518.46,2350
217.0,518.1,4601
241.7,462.35,1993
216.77,459.24,"(None, None)"
215.4,522.61,2969
217.42,467.61,1788
215.6,461.19,2543
215.42,452.89,2008
210.95,457.76,3493
216.65,524.9,1352
217.99,459.51,3490
215.49,463.8,2429
215.83,467.17,2042
235.93,462.7,1834
211.3,459.45,3703
217.77,468.5,1621
243.55,461.74,1054
216.47,465.45,2449
243.3,467.8,1903
215.66,511.38,1795
239.69,523.04,1826
217.18,465.28,4264
217.85,467.53,1449
217.42,462.55,3331
215.43,518.13,2142
216.22,468.78,3679
215.91,516.37,2142
216.98,466.51,2386
214.17,447.67,92460
217.81,467.72,2464
215.15,519.51,2749
214.99,457.63,1413
216.67,511.45,2000
211.02,521.11,3628
216.84,466.54,2091
217.68,465.6,1843
216.73,457.35,1753
216.42,454.12,4060
238.28,468.79,1451
215.87,466.24,2259
217.66,466.5,2679
217.0,468.97,2192
238.08,465.7,3448
215.04,512.31,2012
216.76,466.19,2194
217.45,456.79,1918
213.73,465.37,2644
243.24,466.56,1808
240.5,501.42,2255
210.46,458.98,2010
215.84,507.5,1789
216.78,520.08,2261
217.04,457.57,2008
217.6,461.6,3932
212.37,467.73,1279
211.82,520.99,2351
216.02,469.59,2819
212.61,450.91,3180
212.8,464.76,2322
216.51,520.95,2010
214.16,464.4,1895
217.87,517.4,1404
215.5,468.62,1874
243.73,467.7,2680
216.5,517.97,1168
215.49,515.82,4345
212.74,466.86,3750
242.79,465.16,2152
217.25,518.13,2169
213.27,522.95,3557
217.6,465.46,2237
214.28,466.94,1880
216.66,514.25,1738
215.88,523.93,3429
217.75,468.57,3124
216.9,457.76,2010
244.97,466.38,1578
242.57,467.95,2660
217.9,453.89,3312
242.27,460.11,2563
214.94,461.79,3458
215.54,517.03,1286
215.67,466.69,2056
217.7,464.21,2020
242.1,467.29,12625
217.74,466.9,1724
244.02,523.81,1243
215.84,515.28,2768
207.64,522.09,2099
215.04,461.43,2134
213.75,458.77,1945
217.17,521.99,1634
214.55,468.62,1577
244.2,468.8,2416
244.98,460.34,1676
243.76,521.46,3679
216.25,457.18,1790
210.86,458.69,2378
244.47,510.64,1712
242.05,466.72,2615
216.42,524.11,2685
217.94,464.88,2933
216.65,515.3,2779
243.51,524.72,2012
215.28,523.3,1108
217.44,524.02,3692
239.49,465.8,3537
243.2,465.78,3848
212.75,506.14,2474
211.54,516.11,2829
215.65,523.75,1945
214.15,459.72,1986
215.98,468.94,2720
239.12,463.97,1903
242.54,511.81,2119
212.91,458.27,2327
216.91,467.78,2418
216.37,523.99,2415
216.99,455.46,7002
215.7,524.04,3497
216.56,468.92,3065
211.24,462.19,1778
215.48,522.84,1503
242.27,463.32,2801
216.32,457.51,1531
242.5,466.15,1834
213.9,507.83,1436
209.47,469.53,2743
217.69,467.66,2232
243.92,459.27,1840
242.7,523.46,1485
239.97,466.47,3799
213.4,466.79,2300
243.44,462.15,2112
214.41,466.57,2062
216.44,469.41,1264
214.08,463.18,2112
217.17,465.21,2321
217.6,458.24,1427
237.03,469.71,4621
215.93,505.1,3396
217.19,519.88,3413
216.1,514.19,2163
217.68,469.7,2181
242.96,458.95,3240
217.56,456.66,1735
214.02,466.6,1268
240.15,461.81,1431
216.82,451.47,1808
217.6,447.16,2116
216.6,517.63,2201
216.92,469.73,2285
217.31,467.4,1522
217.67,463.1,3331
213.87,461.3,2084
217.72,465.85,2859
237.13,523.73,2220
243.38,459.56,2143
243.5,463.48,2772
217.92,521.07,2913
217.43,515.76,3858
210.59,467.23,2517
244.94,466.32,1474
216.94,462.4,2324
217.13,524.77,4423
242.58,524.68,1380
217.51,521.86,9592
216.02,469.42,2078
244.31,460.26,1901
242.4,461.04,3445
242.46,463.3,3578
241.28,464.16,3037
217.62,463.28,1157
217.21,522.2,3728
216.35,462.85,2887
212.63,524.46,4172
210.95,519.88,3644
214.6,464.29,1598
211.24,467.36,1813
217.11,468.8,2837
240.46,461.5,2248
243.64,461.83,1226
216.6,469.66,1653
214.52,469.06,2870
244.17,464.67,3207
217.72,469.64,2953
216.33,516.54,4265
241.79,464.57,3173
217.79,468.19,1873
217.17,513.38,1634
216.97,463.79,1317
216.71,458.28,2329
217.63,469.9,1929
214.52,453.3,1754
243.35,469.8,3567
217.37,462.76,2466
214.75,456.97,3282
216.88,520.46,2330
239.64,463.44,2051
242.56,517.16,1471
212.31,522.15,1707
215.46,466.76,2766
215.6,517.54,4580
216.56,466.22,1909
238.12,463.22,3922
244.46,465.87,3495
212.19,467.69,2185
213.25,458.09,2686
214.6,463.24,2469
217.77,464.99,14172
212.39,465.0,1591
210.9,460.7,2858
215.12,464.31,1705
243.27,466.82,2199
210.95,463.56,4087
217.45,455.43,2468
240.56,465.99,1827
216.17,465.05,1652
217.7,465.52,2734
215.17,459.29,2683
213.23,451.93,3318
239.1,469.13,2918
215.71,469.68,2690
239.93,463.63,4385
236.72,501.14,2334
212.77,447.99,2142
243.84,463.73,1716
216.0,458.9,1577
244.74,461.55,3595
239.47,454.8,1989
212.7,465.58,1684
244.55,524.32,1620
217.12,523.92,2648
208.12,459.6,2775
208.79,518.8,1969
215.74,452.55,2580
244.97,524.6,3625
217.3,520.32,14568
216.02,466.57,4122
210.42,498.49,1787
217.23,463.33,2893
214.35,464.36,1771
215.88,520.35,3490
215.64,520.08,1876
217.11,467.19,3582
214.95,467.56,4752
217.2,469.26,2157
217.7,465.1,3821
242.57,455.78,2584
217.9,521.76,1651
215.84,454.18,3374
216.81,524.18,4384
215.35,509.38,2770
214.54,518.73,2894
212.08,469.75,2372
244.86,467.5,1836
214.95,469.94,1609
217.46,469.79,2322
244.77,457.52,4224
242.89,456.89,2359
243.23,522.01,3343
212.68,468.13,1590
217.4,466.34,4474
214.13,468.27,1797
244.2,464.3,1597
241.44,449.74,2010
216.09,504.27,1639
215.42,461.75,2342
244.21,524.03,2564
238.84,507.68,1797
211.91,523.05,3128
214.74,469.95,1849
215.02,462.98,1376
217.42,524.08,3688
216.07,524.19,2336
216.37,466.27,2985
244.72,519.94,2759
213.37,524.78,1525
238.52,468.45,3169
243.43,468.04,2632
210.94,463.63,2386
217.64,460.46,1250
216.1,517.85,1191
213.89,467.42,2864
240.52,464.82,2937
217.93,466.17,1588
217.84,466.89,3611
216.78,467.6,4061
214.87,469.22,2893
240.77,469.48,3471
214.26,458.83,3055
216.9,461.87,1557
238.64,464.58,1342
217.71,460.75,2508
214.34,468.43,1354
217.5,521.6,2041
241.84,524.26,3424
217.47,524.5,16494
213.12,462.03,3418
214.47,521.35,1728
217.57,460.17,3940
216.53,465.57,2024
214.44,523.7,2615
244.8,453.43,2295
217.9,502.06,2122
217.15,458.45,3840
242.16,465.32,16937
216.01,469.32,2696
215.7,466.16,1554
215.59,462.18,2088
211.2,511.45,1433
239.35,464.62,1341
216.88,523.94,1688
214.62,464.55,1932
217.84,464.2,2706
216.87,469.11,2795
216.77,524.22,3268
216.15,459.22,1480
214.24,458.06,2004
215.94,447.26,2192
210.85,467.9,2178
217.57,469.35,2184
216.55,448.41,2023
217.66,464.39,1439
217.19,463.99,2825
217.8,469.3,1955
216.14,469.75,3173
212.9,467.5,2031
217.43,515.72,2730
216.23,508.42,1878
213.42,502.2,2548
217.27,467.46,2059
215.77,457.98,1770
214.35,464.07,2104
215.69,469.34,2318
242.41,453.85,2997
214.97,468.54,3178
215.52,468.94,3060
217.32,464.77,3315
217.49,523.52,2395
244.57,519.06,1769
217.5,469.96,2456
243.67,468.95,2093
215.66,462.49,3138
215.95,467.54,1624
216.36,459.3,1842
215.0,465.19,2183
217.19,521.28,3070
216.8,459.09,1772
217.04,462.06,1615
239.9,458.3,2982
216.3,515.2,2091
216.14,461.94,2160
213.51,461.07,1863
212.4,466.7,2177
216.8,465.97,3874
243.06,467.49,1936
217.01,523.72,1290
216.19,458.62,2157
242.65,456.38,1747
216.53,465.25,3791
216.59,450.58,1530
244.55,463.79,2971
216.24,457.22,2413
241.86,458.45,2141
215.92,460.1,2141
217.49,468.57,3297
217.65,459.45,179430
241.44,467.8,3279
216.99,466.88,2527
212.79,454.15,2802
244.1,466.34,3666
214.81,460.93,2223
214.5,506.15,3742
214.64,456.83,3688
240.8,516.26,2868
217.07,457.44,1499
244.95,466.46,1962
217.76,462.81,4092
244.39,513.59,1555
244.79,466.2,2699
214.33,461.79,3318
215.69,467.27,2830
243.86,453.28,1357
211.53,467.55,2002
213.8,468.1,2377
215.49,523.08,4471
216.52,505.59,4414
216.0,466.79,3291
217.82,454.7,2719
217.59,469.89,2450
214.44,465.47,1586
217.7,456.55,1771
217.6,468.3,2705
241.24,466.53,3639
217.64,460.2,2787
216.02,517.18,4510
243.26,465.39,3389
216.62,509.41,1700
243.36,515.55,2340
214.78,469.99,2075
217.36,457.76,3296
216.1,468.07,2004
239.38,456.29,3025
216.8,451.54,3828
213.12,465.6,1853
210.9,456.53,1885
216.31,464.42,3734
214.77,447.75,1195
215.09,465.11,2480
242.29,462.46,1861
216.34,468.38,1746
217.43,460.04,2688
214.17,465.7,2828
216.89,469.36,1908
217.8,467.65,4145
217.59,520.38,2694
216.25,522.15,2685
241.05,461.71,1493
213.96,468.6,2221
217.7,468.77,1401
216.99,468.16,1439
215.39,465.59,3591
217.39,467.07,2246
215.68,514.67,2687
217.32,518.04,1547
240.47,517.12,1888
212.34,468.97,4765
217.75,522.63,3098
216.16,514.73,2182
244.23,464.87,2414
