1500_finish_s,3000_finish_s,5000_finish_s,mile1_s,mile2_s,mile3_s
206.0,437.55,1128.0,344.8,368.1,365.4
206.12,440.67,1246.9,425.2,402.7,380.5
206.34,441.28,1290.3,411.5,409.4,409.6
206.45,443.09,1343.7,422.8,423.9,443.0
206.69,443.63,1506.5,488.3,479.4,482.4
206.73,443.64,1510.8,527.4,471.7,467.4
206.89,444.0,1527.2,481.9,503.5,497.2
206.96,445.02,1579.2,510.9,498.2,524.5
207.14,445.09,1598.0,527.5,521.5,498.5
207.21,445.11,1598.9,515.2,532.8,494.1
207.34,445.16,1597.2,557.7,513.4,475.8
207.37,445.47,1612.3,513.4,542.0,515.5
207.4,445.48,1634.1,525.2,531.3,527.2
207.52,445.54,1635.6,523.8,547.2,521.9
207.64,445.79,1656.1,510.3,562.8,528.9
207.64,445.87,1696.2,574.8,544.3,525.4
207.65,445.93,1706.0,572.9,543.2,538.9
207.65,446.02,1713.4,562.5,540.8,550.1
207.72,446.03,1712.6,582.4,549.2,524.0
207.79,446.18,1716.4,533.4,570.7,561.4
207.8,446.25,1727.4,533.9,588.7,551.1
207.83,446.28,1744.9,591.5,596.7,503.7
207.91,446.62,1748.5,562.3,560.9,569.6
207.95,446.64,1734.4,541.2,580.6,571.2
208.12,446.69,1733.3,569.0,573.5,553.6
208.21,446.81,1760.8,564.5,567.4,582.6
208.24,447.0,1788.4,565.4,584.9,574.6
208.28,447.05,1823.3,593.6,601.7,551.1
208.32,447.16,1827.0,583.3,592.4,593.0
208.37,447.18,1864.2,620.3,592.1,580.2
208.37,447.26,1854.9,598.6,625.1,578.0
208.38,447.3,1852.7,594.8,605.9,592.9
208.4,447.42,1865.8,599.6,606.4,618.9
208.41,447.5,1890.2,585.9,632.5,606.1
208.45,447.55,1897.1,624.7,610.0,608.4
208.45,447.59,1894.5,642.2,598.7,611.5
208.51,447.61,1907.2,596.7,624.8,613.1
208.57,447.64,1935.0,625.4,610.3,620.8
208.6,447.66,1909.9,613.3,615.4,631.0
208.68,447.67,1935.6,609.5,611.9,653.3
208.71,447.68,1935.4,621.9,644.0,602.7
208.72,447.72,1939.4,606.3,633.9,642.9
208.73,447.75,1947.0,588.9,666.8,634.2
208.75,447.99,1956.2,653.4,635.2,599.5
208.76,448.0,1948.9,638.6,602.8,637.0
208.76,448.02,1950.7,633.6,612.4,645.1
208.77,448.04,1959.2,622.9,641.3,631.9
208.79,448.19,1979.9,616.3,659.1,637.7
208.8,448.28,1987.0,616.9,646.5,652.8
208.8,448.28,2008.2,673.4,664.8,592.9
208.81,448.37,1994.1,670.1,632.2,618.8
208.81,448.38,1997.0,646.0,658.9,644.4
208.84,448.41,2018.2,636.7,647.6,659.7
208.86,448.44,2024.8,596.4,674.1,692.3
208.88,448.45,2022.6,616.3,659.6,683.4
208.89,448.48,2037.0,626.6,686.6,661.1
208.91,448.53,2044.0,682.3,652.2,653.6
208.92,448.56,2055.2,649.9,688.8,651.7
208.93,448.64,2048.2,661.7,676.7,635.5
208.93,448.67,2051.7,657.1,659.1,674.7
208.95,448.7,2065.0,660.0,677.2,663.0
208.98,448.7,2053.7,645.6,665.8,674.4
209.01,448.72,2068.4,672.4,655.4,664.0
209.02,448.73,2090.0,675.6,676.5,658.7
209.02,448.76,2081.3,618.1,677.1,698.2
209.02,448.78,2118.4,724.5,660.0,653.9
209.05,448.82,2083.2,680.1,675.4,672.2
209.05,448.83,2119.4,679.9,682.6,681.9
209.05,448.92,2117.1,653.9,703.9,684.5
209.06,448.93,2134.1,664.9,677.5,717.5
209.08,448.94,2140.5,694.8,650.7,729.9
209.08,448.94,2149.4,683.8,716.6,677.3
209.1,448.96,2174.9,691.1,692.2,729.2
209.1,448.98,2166.9,727.4,679.9,701.5
209.11,448.99,2193.2,705.7,714.2,701.7
209.12,449.0,2193.9,692.3,712.7,717.0
209.13,449.09,2196.9,682.1,715.7,728.9
209.13,449.11,2196.6,652.7,722.3,762.4
209.14,449.23,2239.8,689.1,722.4,737.5
209.18,449.24,2272.3,733.2,718.5,733.6
209.18,449.25,2273.7,714.5,751.4,733.3
209.18,449.32,2276.8,725.2,746.6,735.9
209.18,449.34,2289.4,796.7,735.2,676.4
209.19,449.36,2291.1,787.7,736.0,680.8
209.2,449.43,2313.3,719.7,735.4,772.2
209.21,449.43,2333.2,728.3,781.1,742.6
209.21,449.45,2349.3,792.1,727.4,730.7
209.23,449.46,2348.6,734.8,765.7,770.5
209.25,449.48,2344.8,755.3,755.7,755.6
209.26,449.49,2344.2,741.8,798.8,732.0
209.26,449.55,2353.1,757.6,790.7,716.1
209.27,449.55,2377.8,739.9,790.3,767.9
209.27,449.6,2408.2,769.1,779.9,784.4
209.29,449.69,2433.1,774.0,796.8,779.2
209.3,449.74,2427.6,800.0,791.5,771.8
209.3,449.75,2431.4,767.5,793.7,805.7
209.33,449.9,2478.4,786.5,799.9,815.2
209.38,449.92,2465.0,840.4,785.9,775.0
209.41,449.95,2481.5,826.3,796.3,774.7
209.43,450.07,2506.2,815.2,771.9,825.5
209.45,450.09,2501.8,808.2,846.7,769.4
209.46,450.09,2512.0,804.6,808.6,814.8
209.46,450.09,2515.4,823.2,813.4,801.2
209.47,450.14,2551.2,801.7,801.4,851.7
209.47,450.15,2564.3,851.5,843.8,787.8
209.47,450.23,2619.2,856.1,871.2,812.6
209.47,450.23,2626.8,870.9,863.9,801.6
209.5,450.26,2637.2,840.9,859.0,839.6
209.5,450.36,2635.4,862.4,821.3,854.8
209.51,450.36,2624.4,838.0,864.9,851.9
209.51,450.42,2637.3,925.1,809.6,822.3
209.51,450.43,2641.4,860.2,861.2,837.1
209.51,450.45,2656.2,843.4,844.0,879.6
209.52,450.46,2660.4,791.1,888.6,889.2
209.53,450.48,2668.8,817.2,841.2,893.3
209.54,450.49,2657.0,839.1,895.5,851.0
209.56,450.5,2729.3,862.4,865.6,930.7
209.57,450.53,2753.5,885.5,865.2,884.7
209.58,450.53,2797.9,894.9,880.3,894.2
209.59,450.56,2829.8,896.7,897.1,933.5
209.63,450.58,2819.0,917.1,916.3,896.3
209.64,450.62,2879.9,893.7,964.2,920.0
209.64,450.62,2886.3,918.7,920.9,938.9
209.65,450.67,2881.7,919.5,922.8,961.5
209.66,450.76,3017.5,993.3,956.2,961.1
209.67,450.76,3004.6,965.5,984.5,965.3
209.67,450.78,3027.5,936.6,1038.1,964.1
209.67,450.79,3016.6,944.1,952.0,1009.7
209.68,450.8,3016.2,950.8,994.1,997.3
209.68,450.82,3118.7,982.3,1035.3,960.8
209.7,450.84,3206.3,1005.4,1036.7,1080.1
209.7,450.91,3202.8,1043.3,1044.1,1015.1
209.71,450.93,3261.5,1090.3,988.1,1066.4
209.71,450.94,3434.5,1111.7,1138.6,1094.6
209.72,450.95,3461.6,1090.9,1134.6,1107.4
209.72,450.96,3454.3,1085.5,1141.1,1112.6
209.74,450.97,3456.9,1114.7,1192.5,1038.9
209.76,450.99,3543.3,1046.8,1260.1,1138.8
209.77,450.99,3558.6,1141.7,1178.5,1144.5
209.77,451.0,3643.5,1200.9,1173.2,1143.7
209.77,451.13,3661.2,1109.3,1196.9,1225.2
209.77,451.14,3666.0,1118.1,1259.9,1190.2
209.78,451.14,3448.1,1105.1,1139.7,1092.1
209.79,451.19,3869.9,1210.4,1287.5,1238.0
